,test_vis_ndcg,test_txt_ndcg,test_vis_map,test_txt_map,test_charades_ego_mAP,test_egtea_top_1_accuracy,test_egtea_mean_class_accuracy
DUAL_ENCODER_SCALED_OFFSET_1.1_DAIS,31.887617550275156,28.722805284863423,32.650101277749805,24.794368477083445,22.044353089283646,34.041501976284586,28.263231642961067
DUAL_ENCODER_SCALED_OFFSET_1.6_DAIS,31.237688245216273,28.40034398711701,32.031513177264664,24.72693516295791,22.340604134632855,30.533596837944664,26.55304721053752
DUAL_ENCODER_SCALED_OFFSET_1.7_DAIS,31.535205266986367,28.768952891297545,31.816337752462132,25.198031310331725,22.19987648276558,32.262845849802375,26.763166915333365
DUAL_ENCODER_SCALED_OFFSET_1.4_DAIS,31.59054117823909,28.627019006472082,32.81617896670796,25.004122526218715,22.336291688965833,29.397233201581027,26.208730588326596
DUAL_ENCODER_SCALED_OFFSET_1.5_DAIS,31.627032492977815,28.639684105999414,32.72451258136537,25.045364336957203,22.57912633380819,31.274703557312254,26.677877070974166
DUAL_ENCODER_SCALED_OFFSET_1.2_DAIS,31.58380069438831,28.518672108113112,32.109127081570115,24.84054268640989,22.349977584491644,33.05335968379447,27.7521919023529
DUAL_ENCODER_SCALED_OFFSET_1.3_DAIS,31.301984613765455,28.365038602942978,31.71500022059152,24.867539011614912,22.3498668241315,31.966403162055336,26.577417090112217
DUAL_ENCODER_SCALED_OFFSET_1.8_DAIS,31.0550558807464,28.337344387340064,32.130623301957534,24.81058420095749,22.52926260780225,31.274703557312254,25.784120407606366
DUAL_ENCODER_SCALED_OFFSET_2.1_DAIS,31.87258182345622,28.881694935727364,32.63361061215332,25.4012298721811,22.93285896909534,33.99209486166008,28.535595561478637
DUAL_ENCODER_SCALED_OFFSET_1.9_DAIS,31.590981829168918,28.537280026017115,31.966728593887865,25.03538751187894,22.79989100126527,30.731225296442688,26.839626432035395
DUAL_ENCODER_SCALED_OFFSET_2.0_DAIS,30.977935866963925,28.385923560560165,31.62895546218462,24.6784557222655,22.402834994173965,32.905138339920946,28.241448507840765
DUAL_ENCODER_SCALED_OFFSET_2.2_DAIS,31.164700927894927,28.52420297338565,32.011351619962866,25.136278709859234,22.88045520697903,31.07707509881423,25.82166449615082
DUAL_ENCODER_SCALED_OFFSET_2.3_DAIS,31.347874520881675,28.89797278165255,31.840968659048773,24.92565164948221,22.837216272505554,30.039525691699605,26.045460162465726
DUAL_ENCODER_SCALED_OFFSET_2.4_DAIS,31.158481659796085,28.60553209878864,31.737731899118142,24.84857611976654,22.90445362810124,32.905138339920946,25.991008608552264
DUAL_ENCODER_SCALED_OFFSET_2.5_DAIS,31.041834138144342,28.26168514647247,31.653687846694687,24.574460753228454,22.861306632357216,30.08893280632411,25.547104458692836
DUAL_ENCODER_SCALED_OFFSET_2.6_DAIS,30.841594964071017,28.312154356683333,30.96820194551136,24.425163135300302,22.209514118859968,33.49802371541502,27.307666308993806
DUAL_ENCODER_SCALED_OFFSET_2.7_DAIS,31.119943140769863,28.318114020865554,31.853159132174692,24.766849705557686,22.677967589407878,32.70750988142292,28.005053236994144
DUAL_ENCODER_SCALED_OFFSET_2.8_DAIS,30.653353804658405,28.057595742386958,31.111066588896126,24.63635052915503,22.568197305557437,30.385375494071145,26.97697624617953
DUAL_ENCODER_SCALED_OFFSET_2.9_DAIS,30.796630050089064,28.158121009569793,31.360232927479654,24.357668598779085,23.09496675512073,30.731225296442688,26.026252784919073
DUAL_ENCODER_SCALED_OFFSET_3.0_DAIS,30.571904084921638,28.08100384310376,30.94359138009686,24.448116143948514,22.863662299776795,30.92885375494071,26.932566813494617
DUAL_ENCODER_SCALED_OFFSET_3.1_DAIS,30.598370636306484,28.224936384488103,31.402925529195695,24.332972386624686,21.72460730477358,34.1897233201581,27.97351473949633
DUAL_ENCODER_SCALED_OFFSET_3.2_DAIS,30.838926205456485,28.521909909944576,31.24075549573059,25.093267951873127,22.861588807190362,31.175889328063242,26.814750722952958
DUAL_ENCODER_SCALED_OFFSET_3.3_DAIS,30.875111312785453,28.231187947014813,31.68745111970374,24.494691543646294,22.40601375471049,32.70750988142292,28.13616912377268
DUAL_ENCODER_SCALED_OFFSET_3.5_DAIS,30.318843032388678,27.641855996241656,30.79328600957556,23.93159210596577,22.508209166018542,32.11462450592885,27.167948717252766
DUAL_ENCODER_SCALED_OFFSET_3.4_DAIS,30.192647187928284,27.836151905398264,30.46030641407057,24.147306988614908,22.560855801428595,30.434782608695652,26.58421071185674
baseline,30.779011078353935,27.878159822178546,30.893064887446464,24.089609448674224,22.156126927914574,28.90316205533597,25.125775426262877
nlq_baseline,29.974841649133094,27.795055284231946,30.131618299967798,23.71298897793843,22.97676718270372,32.75691699604743,27.26577725111231
